model,train_poisson_deviance,validation_poisson_deviance,test_poisson_deviance,validation_train_gap,test_train_gap
Constant benchmark,0.33076490712809054,0.3317187802824953,0.33142478381265916,0.0009538731544047607,0.0006598766845686277
Poisson GLM,0.3201032349151858,0.3207957414397185,0.3215902496211584,0.0006925065245327322,0.0014870147059726224
Gradient Boosting,0.29804818799758587,0.30369848860652177,0.3057275783852223,0.005650300608935899,0.007679390387636431
