feature,coefficient,multiplicative_effect,percentage_effect,absolute_coefficient
BonusMalus,0.3482964274741962,1.4166521221164687,41.665212211646875,0.3482964274741962
VehAge,-0.2228634488144216,0.8002241133857251,-19.977588661427493,0.2228634488144216
DrivAge,0.09297902441270274,1.0974387156050749,9.74387156050749,0.09297902441270274
VehPower,0.027806410341047808,1.0281966169209364,2.8196616920936446,0.027806410341047808
Density,0.016486696834724267,1.0166233523876171,1.662335238761714,0.016486696834724267
