model,mean_abs_calibration_error,max_abs_calibration_error,top_decile_observed_frequency,top_decile_predicted_frequency,top_decile_lift
Poisson GLM,0.0053436086450386645,0.012755627506920636,0.22256572564205915,0.23330264676672025,2.2015110761441474
Gradient Boosting,0.004249857648914895,0.017106162603065633,0.35513448570899403,0.34839260303381114,3.512816277320643
