feature,importance_mean,importance_std
VehAge,0.022781179338948142,0.0005747309843924597
BonusMalus,0.022541792501772608,0.0006047946072959172
VehBrand,0.01000906000381353,0.0005342651608965528
DrivAge,0.004969513686142968,0.000364228011102937
VehGas,0.0040305427493396604,0.000330718104433707
VehPower,0.003590420702386077,0.00035005890149751205
Density,0.0013046393520651177,0.00013941524147144434
Region,0.0006739137325960431,0.00014815377242265407
Area,4.6838923537551035e-05,1.7994693923805527e-05
